question,exact answer,snippets
Which kinase is inhibited by Tripolin A?,[Aurora A],"Tripolin A, a novel small-molecule inhibitor of aurora A kinase, reveals new regulation of HURP's distribution on microtubules. (http://www.ncbi.nlm.nih.gov/pubmed/23516487)
The human Aurora kinases are a family of such targets. In this study, from a panel of 105 potential small-molecule inhibitors, two compounds Tripolin A and Tripolin B, inhibited Aurora A kinase activity in vitro. In human cells however, only Tripolin A acted as an Aurora A inhibitor.  (http://www.ncbi.nlm.nih.gov/pubmed/23516487)
In this study, from a panel of 105 potential small-molecule inhibitors, two compounds Tripolin A and Tripolin B, inhibited Aurora A kinase activity in vitro (http://www.ncbi.nlm.nih.gov/pubmed/23516487)
Tripolin A, a novel small-molecule inhibitor of aurora A kinase, reveals new regulation of HURP&apos;s distribution on microtubules (http://www.ncbi.nlm.nih.gov/pubmed/23516487)
In this study, from a panel of 105 potential small-molecule inhibitors, two compounds Tripolin A and Tripolin B, inhibited Aurora A kinase activity in vitro. In human cells however, only Tripolin A acted as an Aurora A inhibitor. (http://www.ncbi.nlm.nih.gov/pubmed/23516487)"
Which are the different proteins/isoforms encoded but the ASPH (aspartate beta-hydroxylase) gene in humans?,"[Aspartyl-beta-hydroxylase, Aspartyl (asparaginyl)-beta-hydroxylase, AbetaH, AAH, BAH]
[humbug]
[junctate]
[junctin]
[junctin isoform]","The single genomic locus, AbetaH-J-J, encodes three functionally distinct proteins aspartyl beta-hydroxylase, junctin and junctate by alternative splicing. (http://www.ncbi.nlm.nih.gov/pubmed/17706594)
The human AbetaH-J-J locus is a genomic sequence which generates three functionally distinct proteins, the enzyme aspartyl-beta-hydroxylase (AbetaH), the structural protein of sarcoplasmic reticulum junctin, and the membrane-bound calcium binding protein junctate. (http://www.ncbi.nlm.nih.gov/pubmed/17341613)
Aspartyl (asparaginyl)-beta-hydroxylase (AAH) hydroxylates Asp and Asn residues within EGF-like domains of Notch and Jagged, which mediate cell motility and differentiation. This study examines the expression, regulation and function of AAH, and its related transcripts, Humbug and Junctin, which lack catalytic domains, using SH-Sy5y neuroblastoma cells. (http://www.ncbi.nlm.nih.gov/pubmed/17156427)
Alternative splicing of the locus AbetaH-J-J generates three functionally distinct proteins: an enzyme, AbetaH (aspartyl-beta-hydroxylase), a structural protein of the sarcoplasmic reticulum membrane (junctin), and an integral membrane calcium binding protein (junctate). (http://www.ncbi.nlm.nih.gov/pubmed/15798210)
Junctate is a newly identified integral ER/SR membrane calcium binding protein, which is an alternative splicing form of the same gene generating aspartyl beta-hydroxylase and junctin. (http://www.ncbi.nlm.nih.gov/pubmed/11735129)
Screening a mouse heart cDNA library using canine junctin cDNA as a probe yielded three complete mouse heart cDNAs. One of the cDNAs is homologous to the previously reported human junctate. (http://www.ncbi.nlm.nih.gov/pubmed/11735129)
Screening a cDNA library from human skeletal muscle and cardiac muscle with a cDNA probe derived from junctin led to the isolation of two groups of cDNA clones. The first group displayed a deduced amino acid sequence that is 84% identical to that of dog heart junctin, whereas the second group had a single open reading frame that encoded a polypeptide with a predicted mass of 33 kDa, whose first 78 NH(2)-terminal residues are identical to junctin whereas its COOH terminus domain is identical to aspartyl beta-hydroxylase, a member of the alpha-ketoglutarate-dependent dioxygenase family. We named the latter amino acid sequence junctate. (http://www.ncbi.nlm.nih.gov/pubmed/11007777)
Our study shows that alternative splicing of the same gene generates the following functionally distinct proteins: an enzyme (aspartyl beta-hydroxylase), a structural protein of SR (junctin), and a membrane-bound calcium binding protein (junctate). (http://www.ncbi.nlm.nih.gov/pubmed/11007777)
Junctin is a calsequestrin binding protein detected in junctional sarcoplasmic reticulum of striated muscles. In the present study, the human cardiac junctin cDNA has been cloned by human heart cDNA library screening and RT-PCR, and the cDNA sequence has been determined. The deduced amino acid sequence of human junctin (210 aa) has 84% sequence identity to that of canine junctin identified previously. A human junctin isoform (isoform 1, 225 aa) was also identified and characterized. The isoform 1 has a 15 aa insertion at the amino acid residue 55 of the human junctin. Northern blot analysis revealed that the human junctin was present both in cardiac and skeletal muscles, and the sizes of the transcripts were approximately 3.0 and 4.2kb. Amino acid residues 6-78 of human junctin and 35-107 of human aspartyl beta-hydroxylase (hAspH) overlapped perfectly. (http://www.ncbi.nlm.nih.gov/pubmed/10974562)
The mouse aspartyl beta-hydroxylase gene (Asph, BAH) has been cloned and characterized. The mouse BAH gene spans 200 kilobase pairs of genomic DNA and contains 24 exons. Of three major BAH-related transcripts, the two largest (6,629 and 4,419 base pairs) encode full-length protein and differ only in the use of alternative polyadenylation signals. The smallest BAH-related transcript (2,789 base pairs) uses an alternative 3' terminal exon, resulting in a protein lacking a catalytic domain. Evolutionary conservation of this noncatalytic isoform of BAH (humbug) is demonstrated in mouse, man, and Drosophila. (http://www.ncbi.nlm.nih.gov/pubmed/10956665)
The single genomic locus, AbetaH-J-J, encodes three functionally distinct proteins aspartyl beta-hydroxylase, junctin and junctate by alternative splicing (http://www.ncbi.nlm.nih.gov/pubmed/17706594)
Multiple levels of control of the expression of the human A beta H-J-J locus encoding aspartyl-beta-hydroxylase, junctin, and junctate. (http://www.ncbi.nlm.nih.gov/pubmed/17341613)
A human junctin isoform (isoform 1, 225 aa) was also identified and characterized (http://www.ncbi.nlm.nih.gov/pubmed/10974562)"
What is known as the cause of subacute thyroiditis?,N/A,"Most cases of subacute thyroiditis are caused by a variety of viruses, for example, Coxsackie, cytomegalovirus, Epstein-Barr virus, and adenovirus (http://www.ncbi.nlm.nih.gov/pubmed/22819125)"
"The protein neprilysin  has an positive effect on Alzheimer disease, how can it be delivered to the brain?","[Gene transfer with viral vectors]
[Gene transfer with non-viral vectors]
[Transgenesis]
[Gene Induction]
[Fusion of the Apolipoprotein B (ApoB) low-density lipoprotein (LDL) receptor-binding domain to a targeted protein]
[ex vivo gene therapy]
[Intracardiac (peripheral) administration of viral neprilysin construct]
[Syringe-focused ultrasound device]
[Convection-enhanced delivery]
[Use of human adipose tissue-derived mesenchymal stem cells that secrete functional neprilysin-bound exosomes]","he novel, syringe-focused US device was used to introduce purified plasmid DNA encoding human neprilysin (hNEP) into mouse hindlimb skeletal muscle concurrent with US protocol (http://www.ncbi.nlm.nih.gov/pubmed/22114052)
This technique provides a safe and efficient non-viral method for in vivo gene delivery with potential applications in both basic research and in gene therapy of neuronal disease. (http://www.ncbi.nlm.nih.gov/pubmed/20817034)
A novel system for in vivo neprilysin gene delivery using a syringe electrode. (http://www.ncbi.nlm.nih.gov/pubmed/20817034)
Previous studies have demonstrated the therapeutic potential of viral vector-mediated neprilysin (NEP) gene therapy in mouse models of Alzheimer's disease (AD). (http://www.ncbi.nlm.nih.gov/pubmed/22751177)
Convection-enhanced delivery of neprilysin: a novel amyloid-β-degrading therapeutic strategy. (http://www.ncbi.nlm.nih.gov/pubmed/22751177)"
"Which are the bioinformatics tools for gene structure prediction?
","[WPSS]
[SCGPred]
[TICO]
[GLIMMER]
[MetWAMer]
[WebScipio]
[GeneSeqer]
[SplicePredictor]
[DGSplicer]
[TAP]
[GeneBuilder]
[SeqHelp]
[FGENE, FGENEH]
[HSPL]
[RNASPL]
[HEXON]
[CDSB]
[HBR]","The prediction of the complete structure of genes is one of the very important tasks of bioinformatics, especially in eukaryotes. A crucial part in the gene structure prediction is to determine the splice sites in the coding region. Identification of splice sites depends on the precise recognition of the boundaries between exons and introns of a given DNA sequence. This problem can be formulated as a classification of sequence elements into 'exon-intron' (EI), 'intron-exon' (IE) or 'None' (N) boundary classes. (http://www.ncbi.nlm.nih.gov/pubmed/21056007)
The proposed WPSS method poses efficient results compared with the performance of many methods proposed in the literature. (http://www.ncbi.nlm.nih.gov/pubmed/21056007)
SCGPred: a score-based method for gene structure prediction by combining multiple sources of evidence. (http://www.ncbi.nlm.nih.gov/pubmed/19329068)
Moreover, computational gene finding in newly sequenced genomes is especially a difficult task due to the absence of a training set of abundant validated genes. Here we present a new gene-finding program, SCGPred, to improve the accuracy of prediction by combining multiple sources of evidence. (http://www.ncbi.nlm.nih.gov/pubmed/19329068)
Therefore, SCG-Pred can serve as an alternative gene-finding tool for newly sequenced eukaryotic genomes. The program is freely available at http://bio.scu.edu.cn/SCGPred/. (http://www.ncbi.nlm.nih.gov/pubmed/19329068)
Incorporation of splice site probability models for non-canonical introns improves gene structure prediction in plants. (http://www.ncbi.nlm.nih.gov/pubmed/16306388)
We pursued one such approach and describe the training and implementation of GC-donor splice site models for Arabidopsis and rice, with the goal of exploring whether specific modeling of non-canonical introns can enhance gene structure prediction accuracy. (http://www.ncbi.nlm.nih.gov/pubmed/16306388)
Source code for the updated versions of GeneSeqer and SplicePredictor (distributed with the GeneSeqer code) isavailable at http://bioinformatics.iastate.edu/bioinformatics2go/gs/download.html. Web servers for Arabidopsis, rice and other plant species are accessible at http://www.plantgdb.org/PlantGDB-cgi/GeneSeqer/AtGDBgs.cgi, http://www.plantgdb.org/PlantGDB-cgi/GeneSeqer/OsGDBgs.cgi and http://www.plantgdb.org/PlantGDB-cgi/GeneSeqer/PlantGDBgs.cgi, respectively. A SplicePredictor web server is available at http://bioinformatics.iastate.edu/cgi-bin/sp.cgi. Software to generate training data and parameterizations for Bayesian splice site models is available at http://gremlin1.gdcb.iastate.edu/~volker/SB05B/BSSM4GSQ/ (http://www.ncbi.nlm.nih.gov/pubmed/16306388)
Prediction of splice sites with dependency graphs and their expanded bayesian networks. (http://www.ncbi.nlm.nih.gov/pubmed/15374869)
A crucial part in the gene structure prediction is to determine the precise exon-intron boundaries, i.e. the splice sites, in the coding region. (http://www.ncbi.nlm.nih.gov/pubmed/15374869)
Software (a program called DGSplicer) and datasets used are available at http://csrl.ee.nthu.edu.tw/bioinf/ BACKGROUND: cclu@ee.nthu.edu.tw. (http://www.ncbi.nlm.nih.gov/pubmed/15374869)
Gene structure prediction from consensus spliced alignment of multiple ESTs matching the same genomic locus. (http://www.ncbi.nlm.nih.gov/pubmed/14764557)
Accurate gene structure annotation is a challenging computational problem in genomics. (http://www.ncbi.nlm.nih.gov/pubmed/14764557)
The splice site prediction tool (SplicePredictor) is distributed with the GeneSeqer code. A SplicePredictor web server is available at http://bioinformatics.iastate.edu/cgi-bin/sp.cgi (http://www.ncbi.nlm.nih.gov/pubmed/14764557)
We have developed a software tool, Transcript Assembly Program (TAP), to delineate gene structures using genomically aligned EST sequences. (http://www.ncbi.nlm.nih.gov/pubmed/11337482)
GeneBuilder: interactive in silico prediction of gene structure. (http://www.ncbi.nlm.nih.gov/pubmed/10487869)
In the case of low homology, GeneBuilder is still able to predict the gene structure. The GeneBuilder system has been tested by using the standard set (Burset and Guigo, Genomics, 34, 353-367, 1996) and the performances are: 0.89 sensitivity and 0.91 specificity at the nucleotide level. (http://www.ncbi.nlm.nih.gov/pubmed/10487869)
The computer program SeqHelp organizes information from database searches, gene structure prediction, and other information to generate multiply aligned, hypertext-linked reports to allow for fast analysis of molecular sequences. (http://www.ncbi.nlm.nih.gov/pubmed/9521933)
Identification of human gene structure using linear discriminant functions and dynamic programming. (http://www.ncbi.nlm.nih.gov/pubmed/7584460)
Development of advanced technique to identify gene structure is one of the main challenges of the Human Genome Project. (http://www.ncbi.nlm.nih.gov/pubmed/7584460)
A gene structure prediction system FGENE has been developed based on the exon recognition functions. (http://www.ncbi.nlm.nih.gov/pubmed/7584460)
Analysis of uncharacterized human sequences based on our methods for splice site (HSPL, RNASPL), internal exons (HEXON), all type of exons (FEXH) and human (FGENEH) and bacterial (CDSB) gene structure prediction and recognition of human and bacterial sequences (HBR) (to test a library for E. coli contamination) is available through the University of Houston, Weizmann Institute of Science network server and a WWW page of the Human Genome Center at Baylor College of Medicine. (http://www.ncbi.nlm.nih.gov/pubmed/7584460)
In the bioinformatics field, many computer algorithmic and data mining technologies have been developed for gene prediction, protein-protein interaction analysis, sequence analysis, and protein folding predictions, to name a few. (http://www.ncbi.nlm.nih.gov/pubmed/20726803)
The accurate prediction of intron boundaries largely facilitates the correct prediction of gene structure in nuclear genomes. (http://www.ncbi.nlm.nih.gov/pubmed/15564294)"
How is myotonic dystrophy inherited?,[autosomal dominant],"Myotonic dystrophy type 2 (DM2) is an autosomal dominant, multisystem disorder caused by a CCTG tetranucleotide repeat expansion located in intron 1 of the zinc finger protein 9 gene (ZNF9 gene) on chromosome 3q 21.3. (http://www.ncbi.nlm.nih.gov/pubmed/22332444)
Myotonic dystrophy type 1 (DM1) is an autosomal dominant disorder, caused by an expansion of a CTG triplet repeat in the DMPK gene. (http://www.ncbi.nlm.nih.gov/pubmed/18228241)
Myotonic dystrophy (DM), the most common form of muscular dystrophy in adults, is a clinically and genetically heterogeneous neuromuscular disorder. DM is characterized by autosomal dominant inheritance, muscular dystrophy, myotonia, and multisystem involvement. Type 1 DM (DM1) is caused by a (CTG)(n) expansion in the 3' untranslated region of DMPK in 19q13.3. (http://www.ncbi.nlm.nih.gov/pubmed/12970845)
proximal myotonic myopathy (PROMM) and type 2 DM (DM2) but without the DM1 mutation, showed linkage to the 3q21 region and were recently shown to segregate a (CCTG)(n) expansion mutation in intron 1 of ZNF9. (http://www.ncbi.nlm.nih.gov/pubmed/12970845)
All patients have the DM2 (CCTG)(n) expansion. (http://www.ncbi.nlm.nih.gov/pubmed/12970845)
Myotonic dystrophy type 1 is a neuromuscular, degenerative and progressive disease, with an autosomal dominant pattern of inheritance, variable expressivity and incomplete penetrance. (http://www.ncbi.nlm.nih.gov/pubmed/12577208)
The worldwide intergenerational behavior of the DM1 mutation is similar in Costa Rica (http://www.ncbi.nlm.nih.gov/pubmed/12577208)
Dystrophic myotonia is a sufficiently rare disease inherited mainly by the autosomal dominant type. (http://www.ncbi.nlm.nih.gov/pubmed/8154209)"
Which protein is required for Argonaute 2 recruitment to stress granules and P-bodies?,[Hsp90],"we examined whether another Hsp90 inhibitor radicicol (RA) affected P-bodies and stress granules. Treatment with RA reduced the level of the Hsp90 client protein Argonaute 2 and the number of P-bodies. Although stress granules still assembled in RA-treated cells upon heat shock, they were smaller and more dispersed in the cytoplasm than those in untreated cells (http://www.ncbi.nlm.nih.gov/pubmed/21439943)
Hsp90 regulates the function of argonaute 2 and its recruitment to stress granules and P-bodies (http://www.ncbi.nlm.nih.gov/pubmed/19458189)
Processing bodies (PBs) and stress granules (SGs) are the two main types of ribonucleoprotein complexes with which Argonautes are associated. Targeting of Argonautes to these structures seems to be regulated by different factors. In the present study, we show that heat-shock protein (Hsp) 90 activity is required for efficient targeting of hAgo2 to PBs and SGs (http://www.ncbi.nlm.nih.gov/pubmed/19458189)
Hsp90 regulates the function of argonaute 2 and its recruitment to stress granules and P-bodies. (http://www.ncbi.nlm.nih.gov/pubmed/19458189)
Treatment with RA reduced the level of the Hsp90 client protein Argonaute 2 and the number of P-bodies. (http://www.ncbi.nlm.nih.gov/pubmed/21439943)
Treatment with RA reduced the level of the Hsp90 client protein Argonaute 2 and the number of P-bodies.  (http://www.ncbi.nlm.nih.gov/pubmed/21439943)
In the present study, we show that heat-shock protein (Hsp) 90 activity is required for efficient targeting of hAgo2 to PBs and SGs.  (http://www.ncbi.nlm.nih.gov/pubmed/19458189)
To verify these observations, we examined whether another Hsp90 inhibitor radicicol (RA) affected P-bodies and stress granules. Treatment with RA reduced the level of the Hsp90 client protein Argonaute 2 and the number of P-bodies. (http://www.ncbi.nlm.nih.gov/pubmed/21439943)"
Which are the newly identified DNA nucleases that can be used to treat thalassemia?,"[TALEN]
[Crispr/CAS]
[zinc-finger nucleases]","Transcription activator-like effector nuclease (TALEN) and zinc finger nuclease (ZFN) DNA editing technology enables site-directed engineering of the genome (http://www.ncbi.nlm.nih.gov/pubmed/24305278)
We used this opportunity to evaluate the effect of total donor homology on transcription activator-like effector nuclease (TALEN) mediated bi-allelic modification.  (http://www.ncbi.nlm.nih.gov/pubmed/24305403)
Herein we describe our applications of site-specific nucleases, especially transcription activator-like effector nucleases, to engineer specific alterations in the genomes of pigs and cows. (http://www.ncbi.nlm.nih.gov/pubmed/24305179)
In this study, we used zinc finger nuclease-mediated knockout of the aryl hydrocarbon receptor (AHR) or AHR nuclear translocator (ARNT) in MCF7 and AHR knockout in MDA-MB-231 human breast cancer cells to investigate cross talk among AHR, ARNT, and estrogen receptor α (ERα). (http://www.ncbi.nlm.nih.gov/pubmed/24299737)
 For example, after binding DNA, TALEs fused to transcriptional activation domains can function as robust transcription factors (TALE-TFs), while fused to restriction endonucleases (TALENs) can cut DNA.  (http://www.ncbi.nlm.nih.gov/pubmed/24291598)
Genome editing using engineered nucleases such as transcription activator-like effector nucleases (TALENs) has become a powerful technology for reverse genetics (http://www.ncbi.nlm.nih.gov/pubmed/24286287)
Here, we describe a robust process combining efficient generation of integration-free β-Thal iPSCs from the cells of patients and transcription activator-like effector nuclease (TALEN)-based universal correction of HBB mutations in situ. (http://www.ncbi.nlm.nih.gov/pubmed/24155235)
We report here the correction of α-thalassemia major hydrops fetalis in transgene-free iPS cells using zinc finger-mediated insertion of a globin transgene in the AAVS1 site on human chromosome 19.  (http://www.ncbi.nlm.nih.gov/pubmed/23002118)
 Here, we review the development of Cas9 as an important tool to not only edit the genomes of a number of different prokaryotic and eukaryotic species, but also as an efficient system for site-specific transcriptional repression or activation. Additionally, a specific Cas9 protein has been observed to target an RNA substrate, suggesting that Cas9 may have the ability to be programmed to target RNA as well. (http://www.ncbi.nlm.nih.gov/pubmed/24323919)
RNA-guided endonucleases (RGENs), derived from the prokaryotic adaptive immune system known as CRISPR/Cas, enable targeted genome engineering in cells and organisms.  (http://www.ncbi.nlm.nih.gov/pubmed/24253446)
The CRISPR/Cas technology has been successfully used to stimulate the integration of small DNA sequences in a target locus to produce gene mutations. (http://www.ncbi.nlm.nih.gov/pubmed/24211574)"
Which diseases are associated with Alu element insertion?,"[myotonic dystrophy type 2]
[Friedreich ataxia]
[spinocerebellar ataxia type 10]
[autosomal dominant optic atrophy]
[Menkes disease]
[hyper-IgM with immunodeficiency syndrome (HIGM)]
[anterior pituitary aplasia]
[HNPCC]
[FAP]","Alu elements are known to be the source of microsatellite repeats responsible for two other repeat expansion disorders: Friedreich ataxia and spinocerebellar ataxia type 10. (http://www.ncbi.nlm.nih.gov/pubmed/22723857)
We identified an Alu-element insertion located in intron 7 of OPA1 causing an in-frame deletion of exon 8 in 18 family members. (http://www.ncbi.nlm.nih.gov/pubmed/20157369)
Autosomal dominant optic atrophy (ADOA) is the most common form of hereditary optic neuropathy caused by mutations in the optic atrophy 1 (OPA1) gene. (http://www.ncbi.nlm.nih.gov/pubmed/20157369)
However, this is the first report of a pathogenic OPA1 gene mutation resulting from an Alu insertion. (http://www.ncbi.nlm.nih.gov/pubmed/20157369)
The first reported case of Menkes disease caused by an Alu insertion mutation (http://www.ncbi.nlm.nih.gov/pubmed/17178205)
We present the first reported case of Menkes disease caused by an Alu element insertion mutation that interfered with splicing regulatory elements. (http://www.ncbi.nlm.nih.gov/pubmed/17178205)
HIGM syndrome caused by insertion of an AluYb8 element in exon 1 of the CD40LG gene (http://www.ncbi.nlm.nih.gov/pubmed/17146684)
A new mutation of the CD40LG gene that encodes the CD40 ligand molecule was characterized in a young patient harboring a hyper-IgM with immunodeficiency syndrome. Inactivation of CD40LG gene resulted from the insertion of an AluYb8 element in exon 1 responsible for a total deficiency of CD40 ligand expression by T lymphocytes. (http://www.ncbi.nlm.nih.gov/pubmed/17146684)
Alu-element insertion in the homeodomain of HESX1 and aplasia of the anterior pituitary (http://www.ncbi.nlm.nih.gov/pubmed/15841484)
One patient, who also has retinal coloboma, carries a HESX1 defect in the homozygous state: an Alu insertion in exon 3, a sequence that encodes the major part of the homeodomain. (http://www.ncbi.nlm.nih.gov/pubmed/15841484)
Anterior pituitary aplasia is a new example of a human disease caused by a germline retrotransposition event involving an Alu sequence. (http://www.ncbi.nlm.nih.gov/pubmed/15841484)
Myotonic dystrophy (DM) is associated with abnormal expansions of the CTG repeats in the 3' untranslated region of its gene. Previous studies in individuals of European origin demonstrated strong linkage disequilibrium between different CTG repeat length alleles and an Alu element insertion/deletion polymorphism in intron 8 of the DM gene (http://www.ncbi.nlm.nih.gov/pubmed/7874122)"
Which is the defective protein causing the lysosomal storage disease Fabry?,[alpha-galactosidase A],"The lysosomal storage disorder Fabry disease is characterized by excessive globotriaosylceramide (Gb3) accumulation in major organs such as the heart and kidney. Defective lysosomal alpha-galactosidase A (Gla) is responsible for excessive Gb3 accumulation, and one cell sensitive to the effects of Gb3 accumulation is vascular endothelium. (http://www.ncbi.nlm.nih.gov/pubmed/19202000)
Anderson-Fabry disease (referred to as Fabry disease) is an X-linked disorder characterized by a deficiency of the lysosomal enzyme alpha-galactosidase A and the subsequent accumulation in various tissues of globotriaosylceramide (Gb(3)), the main substrate of the defective enzyme. (http://www.ncbi.nlm.nih.gov/pubmed/15702403)
Human alpha-galactosidase A (EC 3.2.1.22; alpha-Gal A) is the lysosomal exoglycosidase responsible for the hydrolysis of terminal alpha-galactosyl residues from glycoconjugates and is the defective enzyme causing Fabry disease (McKusick 301500). (http://www.ncbi.nlm.nih.gov/pubmed/9323559)
Transgenic mice expressing a human mutant alpha-galactosidase with an R301Q substitution, which was found in a patient with a variant form of Fabry disease, were established. (http://www.ncbi.nlm.nih.gov/pubmed/9395081)"
List packages for transcription factor binding sites' (TFBS) analysis available in R/Bioconductor,"[Neighbourhood Consistent PC (NCPC) algorithms]
[MMDiff]
[cosmo]
[dPattern]
[TFBS]","Clustered occurrence of multiple TFs at genomic sites may arise from chromatin accessibility and local cooperation between TFs, or binding sites may simply appear clustered if the profiles are generated from diverse cell populations. Overlaps in TF binding profiles may also result from measurements taken at closely related time intervals. It is thus of great interest to distinguish TFs that directly regulate gene expression from those that are indirectly associated with gene expression. Graphical models, in particular Bayesian networks, provide a powerful mathematical framework to infer different types of dependencies. However, existing methods do not perform well when the features (here: TF binding profiles) are highly correlated, when their association with the biological outcome is weak, and when the sample size is small. Here, we develop a novel computational method, the Neighbourhood Consistent PC (NCPC) algorithms, which deal with these scenarios much more effectively than existing methods do. We further present a novel graphical representation, the Direct Dependence Graph (DDGraph), to better display the complex interactions among variables. NCPC and DDGraph can also be applied to other problems involving highly correlated biological features. Both methods are implemented in the R package ddgraph, available as part of Bioconductor (http://www.ncbi.nlm.nih.gov/pubmed/23144600)
Here, we present MMDiff, a robust, broadly applicable method for detecting differences between sequence count data sets. Based on quantifying shape changes in signal profiles, it overcomes challenges imposed by the highly structured nature of the data and the paucity of replicates (http://www.ncbi.nlm.nih.gov/pubmed/24267901)
Supervised detection of conserved motifs in DNA sequences with cosmo (http://www.ncbi.nlm.nih.gov/pubmed/17402923)
We here introduce an algorithm, called cosmo, that allows this search to be supervised by specifying a set of constraints that the position weight matrix of the unknown motif must satisfy. Such constraints may be formulated, for example, on the basis of prior knowledge about the structure of the transcription factor in question. The algorithm is based on the same two-component multinomial mixture model used by MEME, with stronger reliance, however, on the likelihood principle instead of more ad-hoc criteria like the E-value (http://www.ncbi.nlm.nih.gov/pubmed/17402923)
dPattern: transcription factor binding site (TFBS) discovery in human genome using a discriminative pattern analysis. (http://www.ncbi.nlm.nih.gov/pubmed/17550915)
TFBS: Computational framework for transcription factor binding site analysis. (http://www.ncbi.nlm.nih.gov/pubmed/12176838)"
What are the effects of depleting protein  km23-1 (DYNLRB1)  in a cell?,"[inhibition of cell migration of human colon carcinoma cells (HCCCs) in wound-healing assays]
[decreased RhoA activation]
[inhibition of TGFβ-mediated activation of ERK and JNK]
[phosphorylation of c-Jun]
[transactivation of the c-Jun promoter]
[decreased key TGFbeta responses]","Finally, our results demonstrated for the first time that depletion of km23-1 inhibited cell migration of human colon carcinoma cells (HCCCs) in wound-healing assays. Overall, our findings demonstrate that km23-1 regulates RhoA and motility-associated actin modulating proteins, suggesting that km23-1 may represent a novel target for anti-metastatic therapy. (http://www.ncbi.nlm.nih.gov/pubmed/23079622)
Further, knockdown of km23-1 inhibited TGFβ-mediated activation of ERK and JNK, phosphorylation of c-Jun, and transactivation of the c-Jun promoter. (http://www.ncbi.nlm.nih.gov/pubmed/22637579)
knockdown (KD) of km23-1 decreased RhoA activation in Mv1Lu epithelial cells (http://www.ncbi.nlm.nih.gov/pubmed/23079622)
We have previously reported that the dynein light chain (DLC) km23-1 is required for Smad2-dependent TGFbeta signaling. (http://www.ncbi.nlm.nih.gov/pubmed/19711352)
Blockade of km23-1 using a small interfering RNA approach resulted in a reduction in both total intracellular Smad2 levels and in nuclear levels of phosphorylated Smad2 after TGFbeta treatment. (http://www.ncbi.nlm.nih.gov/pubmed/17420258)
Blockade of km23 using small interfering RNAs significantly decreased key TGFbeta responses, including induction of fibronectin expression and inhibition of cell growth. (http://www.ncbi.nlm.nih.gov/pubmed/15925487)
On the other hand, inhibiting the endogenous DYNLRB1 with gene-specific small interfering RNA or pharmacologically with a specific inhibitor (vanadate) led to a significant (P < 0.05) decrease in folate uptake. (http://www.ncbi.nlm.nih.gov/pubmed/19571232)
Functional studies showed that some mutations disrupt km23 function, resulting in aberrant transforming growth factor-beta signaling and presumably enhanced tumorigenicity. (http://www.ncbi.nlm.nih.gov/pubmed/16778097)"
